File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Speaker_id,Age,Gender,Machine_Suggestion
,"""Ni wewé watōyé aryá maherá yarí ku kabàáti???""
- Inyishú isānzwé: Oya sí jēwé!
- Umurùúndi: Indé? Jēwé? Nayatōye hábona ndé????","""C'est toi qui as pris l'argent qui était sur la table ?""
- Réponse normale : Non, ce n'est pas moi.
- Réponse burundaise : Qui ? Moi ? Qui m'a vu ?","""It's you who took the money that was on the table?""
- Normal people: No, it's not me
- Burundians: Who? Me? Who saw me?",jokes,,,,
,"- ""Ivyo birāto wāmbáye wabíguze angâhé?""","- ""Combien as-tu payé ces chaussures ?""","-""How much did you buy those shoes?""",jokes,,,,
,- Arasúbizayó ati : Miré umuriro,- Lui : Avaler du feu ?,- Him: Swallow fire?,jokes,,,,
,"- Bella : Hèé màá, utânguriye iphone 13 nca nîyahura",- Bella : Maman si tu ne m'achètes pas un Iphone 13 je pourrais me suicider,- Bella: Mom if you don't buy me an Iphone 13 i might kill my self,jokes,,,,
,- Bubu : Alooo Muyòómba !! úrakomeye ?,- Bubu : Salut oncle ! Comment ça va ?,- Bubu: Hello uncle! How are you?,jokes,,,,
,- Bubu: Ni sawá mugá yâ maherá y'íterefòóne yānje wasígira Māwé yangúriyemwó ibitûmburá n’íkabuturá gusa !,"- Bubu : Oui, ça va aussi, mais avec l'argent que tu as donné à maman pour m'acheter un téléphone, elle m'a seulement acheté un pain et une culotte.","-Bubu: Yes, I am fine too, but with the money you gave to mom to buy me a phone, she only bought me a bread and underwear.",jokes,,,,
,- Hewé urabêrewe cāne unó mùúsi kwèéri,"-""Tu as vraiment l'air bien aujourd'hui.""","-""You really look good today.""",jokes,,,,
,- Inyishú isānzwé: 50.000 F,"- Réponse normale : BIF 50,000","- Normal people: BIF 50,000",jokes,,,,
,- Jēwé: Urī ndé?,"- Moi : ""Qui est là ?""","- Me: """"Who's there?""""""",jokes,,,,
,- Mu Burùúndi: Kirimwó amatára n’âmâzi ??,"- Au Burundi : ""Quels autres produits vais-je recevoir en bonus avec ces chaussures?""","- In Burundi: ""What other items am I getting as a bonus with these shoes?""",jokes,,,,
,"- Muyòómba: ēgó, nàáwe gúte ?","- Oncle : Oui, ça va. Et toi ?","- Uncle: Yes, I am fine. How about you?",jokes,,,,
,"- Mwìígīsha: Korēsha ""amaherá "" mu ryùúngāne.","- Le professeur a dit : ""Utilisez 'argent' dans une phrase.""","- The teacher: Use """"Money"""" in a sentence.""",jokes,,,,
,- Māwé yambwîye ati: Kubêra ikí utāzí ubwênge nka bárya bâna bó kwā Mátayó?,- Ma mère : 'Pourquoi n'es-tu pas aussi intelligent que les enfants de Mathieu ?',- My mom: 'Why are you not smart like those kids of Mathew?',jokes,,,,
,- Nawé ati : Ncīré umuceri?,- Lui : Recracher le riz ?,- Him: Spit out the rice?,jokes,,,,
,- Nyina wa Bella : Urāmbwīra ncūmbé butó nìímba udáharí,- Mère de Bella : Préviens-moi tôt pour que je puisse préparer moins de nourriture.,- Bella's mom: Tell me early so I can prepare less food.,jokes,,,,
,- Nàánje nca nsānga namwīshuye nti : Wehó kó utūgúrutse mu mutwé nka nyina wa Dylan?,"- Moi : ""Pourquoi n'es-tu pas aussi cool que la maman de Dylan ?""","- Me: ""Why are you not cool like Dylan's mom?""",jokes,,,,
,- Nàátwe tuti : Inywa amâzi bàási - Nawé ati: Ndawuyòóngēshe ??,"- Nous : Eh bien, alors, bois de l'eau ! Lui encore : Je veux pas le diluer ?","- Us: Well, then, wash it down with water! Him again: Do you want me to dilute it?",jokes,,,,
,"- Sé wîwé: Oyaa, ivyo ntívyōshoboka kukó uryá ní Māwé wānje.","- Son père : Non, ce n'est pas possible, car c'est ma maman.","- His Dad: No, that's not possible, because she is my mom.",jokes,,,,
,- Turōngera tuti: Wumire bàási.,"- Nous encore : D'accord, avale-le !","- Us again: Alright, swallow it!",jokes,,,,
,- Ubu tuvugána ndāye kwa bā Dylan,- Maintenant je crois que je vais passer la nuit chez Dylan.,- Now I'm spending the night to Dylan's house.,jokes,,,,
,- Umufaràánsa: Urakóze cāne,"- Un Français : ""Merci bien.""","- A French person: ""Thank you very much.""",jokes,,,,
,"- Umugēnzi: ""Do do do""","- Ami : ""Toc, toc.""","- Friend: ""Knock, knock.""",jokes,,,,
,- Umugēnzi: Ni jēwé kīntu cā mbere ukūndá mu buzima bwāwe,"- Ami : ""C'est moi, la chose que tu aimes le plus dans la vie.""","- Friend: ""It's me, the number one thing you mostly like in life.""",jokes,,,,
,"- Umukòóbwa: Oya núkurí, Jēwé nkorēsha vaseline gusa","- Une fille : Non, j'utilise seulement de la Vaseline.","- A girl: No, I only use Vaseline.",jokes,,,,
,- Umunyâmēriká: Urakóze,"- Un Américain : ""Merci.""","- An American: ""Thank you.""",jokes,,,,
,"- Umunyêshùúre : Ntayo mfisé nōkorêsha, ndakenye.","- L'élève a répondu : ""Je n'ai pas d'argent à utiliser je suis fauché.""",- The student: I don't have any money to use I am broke,jokes,,,,
,- Umunyêshùúre nawé arōngera ati: Nōné kubêra ikí wāmá udúhana iyó tutākozé devoir?,"- L'élève répliqua : ""Alors pourquoi nous punissez-vous toujours chaque fois que nous n'avons pas fait nos devoirs ?""","- The student: """"So why do you always punish us whenever we haven't done the homework?""""""",jokes,,,,
,- Umunyêshùúre yabájije umwìígīsha wîwé ati: Umūntu arashóbora guhanirwa icó atākozé?,"- Un élève demanda à son professeur : ""Est-ce que quelqu'un peut être puni pour quelque chose qu'il n'a pas fait ?""","- A student inquired of their teacher: ""Can someone be punished for something they haven't done?""",jokes,,,,
,- Umurùúndi: Indé ??,"- Un Burundais : ""Qui ? Moi ?""","- A Burundian: ""Who? Me?""",jokes,,,,
,- Umurùúndi: Ushāka uyàánsubize?,- Réponse burundaise : Tu veux me rembourser ?,- Burundians: Do you want to cash me back?,jokes,,,,
,"- Umwâna : Hèé Dàá, nūmva nkûnda nyòókuru göse, niwé nshāká kó tuzôkóra ubukwé","- Enfant : Hé Papa, j'aime vraiment beaucoup Mamie, je veux qu'elle soit ma femme.","- Kid: Hey Dad, I really love grandma a lot, I want her to be my wife.",jokes,,,,
,- Umwâna : Nōné wewé Kó watwâye Māwé wānje ??,"- Enfant : Mais toi aussi, tu as épousé ma maman.",- Kid: But you also married my mom.,jokes,,,,
,- Umwìígīsha nawé ati: Oya,"- Le professeur répondit : ""Non.""","- The teacher replied: ""No.""",jokes,,,,
,"- Veterinêri: Umūntu amvuníra umugeto, ntā yìíndi nyama nōmuhá.",- Grilladin : Celui qui casse mes tiges n'aura plus de viande.,- Griller: The one who breaks my skewers won't get any meat anymore.,jokes,,,,
,Aba màáma b’ábarùúndi baratāngāje núkurí.,Les mamans burundaises sont vraiment spéciales. ,Burundian moms are truly unique.,jokes,,,,
,"Aba màáma b’ábarùúndi nûbwó wōbabwìíra kó wīgá mu wa gátāndátu ufíse imyâka 18
bāma bágira bati :""Urayajānyē!"" cânké ngo ""Uyahejeje ukíri mutó""","Les mamans burundaises, imaginez avoir 18 ans et leur dire que vous êtes sur le point de terminer l'école primaire. Leur réponse ? 'Wow, tu es sur le point de terminer ton marathon académique,' ou 'Finir à un si jeune âge, n'es-tu pas un prodige ?","Burundian moms, imagine being 18 and telling them you're about to finish primary school. Their response? 'Wow, you're on the brink of completing your academic marathon,' or 'Finishing at such a tender age, aren't you a prodigy?",jokes,,,,
,"Aba màáma b’ábarùúndi ubábwīye uti : ""Ufise Umwâna mwīzáa.""
Nyina wîwé rēró : ""Yōooo asa na sé.""","Si tu dis aux mamans burundaises, 'Tu as un beau bébé.'
La grand-mère : 'Ohhh vraiment ? Il ressemble à son père.'","If you tell Burundian moms, 'You have a beautiful baby.'
The grandmother: 'Ohhh really? He looks like his father.'",jokes,,,,
,Abadápfūyé barabónana.,Les chemins des vivants finiront par se croiser à nouveau.,The paths of the living will eventually cross again.,proverbs,,,,
,Abagabo bahūrira mu cêro ntíbahūríra mu cîbo.,"Pour des conversations significatives, rassemblez-vous dans l'endroit ouvert désigné, pas autour du festin.","For meaningful conversations, gather in the designated open area, not around the feast.",proverbs,,,,
,Abagabo bararyá imbwá zikīshura.,"Parfois, ce sont les innocents qui paient pour les fautes des coupables.","Sometimes, it's the innocent who pay for the faults of the guilty.",proverbs,,,,
,Abagabo barāra kubiri bakarōta kumwé.,"Des lits séparés, des rêves partagés.","Separated beds, shared dreams.",proverbs,,,,
,Abahinga babona ko Uburundi bufise kazoza keza,Les ingénieurs pensent que le Burundi a un meilleur avenir.,Engineers believe Burundi has a better future.,general,,,,
,"Abakòóbwa bā rúguru 
- Umuhùúngu: Uri mwīzá ,usa nêza ,ufise akabiri nk'âk'úruyoyá, katagirá agahōnzi, ...","Les filles du village.""
- Un garçon : ""Tu es tellement belle, ta peau est vraiment douce, on dirait un bébé, tu es pure...""
","Village girls.
- A boy: ""You are so beautiful, your skin is really soft, like a baby, you are pure...""
",jokes,,,,
,Abana bakinira hanze.,Les enfants jouent dehors.,The children are playing outside.,general,,,,
,Abana barakina umupira wamaguru.,Les enfants jouent au football.,The children play football.,general,,,,
,Abantu babona ugutandukanye imico n’imigenzo,Les gens voient différement les cultures et traditions,People see cultures and traditions differently,general,,,,
,Abantu bafise umutima mwiza,Les gens sont très gentils.,The people are very nice.,general,,,,
,Abantu n'Intungane cane.,Les gens sont très gentils.,The people are very nice.,general,,,,
,Abapfûye akarīmbi baragashīngirwa.,"Si les gens sont en conflit, aidez-les à établir des limites.","If people are in conflict, help them set boundaries.",proverbs,,,,
,Abapfûye urubíbe baragorōrerwa.,"Dans les litiges concernant les frontières, une division équitable apporte une paix durable.","In disputes over borders, fair division brings lasting peace.",proverbs,,,,
,Abarundi barayamaze bati:“hapfa uwavutse”,Les Burundais ont un dicton : ” c'est celui qui est né qui meurt ”.,The Burundians have a saying: “it is he who is born who dies”.,general,,,,
,Abarŭndi basība kurima ntíbasībá kuvúga.,"Les Burundais pourraient délaisser leurs devoirs, mais ne ratent jamais une occasion de potins.","Burundians might skip their duties, but never miss a chance to gossip.",proverbs,,,,
,Abasângira basīgana imvyíro.,Deux mains dans une marmite peuvent parfois se heurter.,Two hands in a pot may sometimes collide.,proverbs,,,,
,Abasângira umusa basāngira abânsi.,Des intérêts partagés font des ennemis communs.,Shared interests make common foes.,proverbs,,,,
,Abatângánya amatáko ntíbīsîgira hamwé.,Les gens ont tendance à rester avec leur propre genre.,People tend to stick with their own kind.,proverbs,,,,
,Abatúkanye bararwāna.,Ceux qui sèment la discorde entre eux peuvent finir par entrer en conflit.,Those who sow discord between themselves may eventually engage in conflict.,proverbs,,,,
,Abavyeyi banje baratunezererewe.,Mes parents sont fiers de nous.,My parents are proud of us.,general,,,,
,Abavyeyi banje baratwishimiye.,Mes parents sont fiers de nous.,My parents are proud of us.,general,,,,
,Abavyeyi baratunezerererwa.,Mes parents sont fiers de nous.,My parents are proud of us.,general,,,,
,Abavyeyi baratwirata,Mes parents sont fiers de nous.,My parents are proud of us.,general,,,,
